caso,width,threads,schedule,chunk,n,t_med,t_min,t_max,t_media,t_desvio,flb,razao_tmax_tmed,w_max,w_media,escrita_s,cv_pct,pol,t_seq,speedup,speedup_min,speedup_max,eficiencia,karp_flatt,flb_prev,efic_bal_prev
zoom,4096,4,static,0,5,1.020999908,1.018999815,1.026000023,1.0217999456,0.0025885108287566883,0.455969,1.2276153001681696,390077628.0,316107172.0,0.042999983,0.2533285346024086,static (blocos),3.097000003,3.033300961864533,3.018518453775902,3.0392547254780413,75.83252404661333,0.1062317972278457,0.45511979733428853,81.03699092427829
zoom,4096,4,static,1,5,0.835000038,0.832999945,0.84100008,0.8366000176,0.0032863655613357234,0.005967,1.0030066841138254,316196877.0,316107172.0,0.042000055,0.3928239890268589,"static,1",3.097000003,3.7089818707289686,3.6825204618292067,3.7178874039421452,92.72454676822422,0.026154358924185866,0.0005827603414312027,99.97163001707952
zoom,4096,6,dynamic,1,5,0.569999933,0.568000078,0.573000193,0.5708000182,0.0021679728119127577,0.001754,1.0005871560891033,212154010.0,210738114.667,0.046000004,0.37981302431443364,"dynamic,1",3.097000003,5.433333977251538,5.40488474669676,5.452464045260219,90.55556628752562,0.02085886953097301,0.0025291737029127623,99.88835935829779
zoom,4096,6,dynamic,4,5,0.572000027,0.569000006,0.57400012,0.571999979,0.0018708522162386358,0.008726,1.0049693651989304,212061760.0,210738114.667,0.039999962,0.32707207778387626,"dynamic,4",3.097000003,5.414335414008643,5.395469260529074,5.442882197438852,90.23892356681073,0.02163384944627009,0.008949751883762909,99.56726108201309
zoom,4096,6,dynamic,16,5,0.579999924,0.578000069,0.58100009,0.5796000482,0.0011401869181498923,0.031142,1.017605615540074,215125726.0,210738114.667,0.040999889,0.19671960374931735,"dynamic,16",3.097000003,5.339655877265253,5.330463895453097,5.358130853441126,88.99426462108755,0.02473358350849185,0.030018651594993555,98.35652067591978
zoom,4096,6,dynamic,64,5,0.605000019,0.600999832,0.622999907,0.6073999882,0.008961008052540275,0.135314,1.0625355511358656,223657352.0,210738114.667,0.042999983,1.4753059312852117,"dynamic,64",3.097000003,5.119008108659249,4.971108291032217,5.153079648448221,85.31680181098749,0.03442041398021921,0.1371336707436309,94.07608001933976
zoom,4096,6,dynamic,256,5,0.779000044,0.773999929,0.779999971,0.7774000166,0.003130462411350107,0.396641,1.3711249610015566,293486690.0,210738114.667,0.041999817,0.40268360490154725,"dynamic,256",3.097000003,3.97560953539561,3.9705129719806105,4.001292360583665,66.26015892326016,0.10184050755391623,0.41305379310961526,71.81606499624903
zoom,4096,6,guided,1,5,0.645999908,0.643000126,0.655999899,0.647599983,0.005224865023159607,0.143963,1.134992371479753,240253126.0,210738114.667,0.040999889,0.8068043792952981,"guided,1",3.097000003,4.794118334456481,4.72103731680605,4.8164842863498905,79.90197224094136,0.05030671257639002,0.14876734631956465,87.71503546083585
zoom,4096,6,guided,4,5,0.648000002,0.640999794,0.674000025,0.6521999836,0.012949962807432524,0.145736,1.133567617220728,240253126.0,210738114.667,0.040999889,1.98558159047346,"guided,4",3.097000003,4.77932097753296,4.594955323629253,4.831514817928319,79.65534962554933,0.0510816924916871,0.15111942809851306,87.71503546083585
zoom,4096,6,guided,16,5,0.645999908,0.643000126,0.651000023,0.646600008,0.0030495684950872454,0.157895,1.1361774628957797,240253126.0,210738114.667,0.045000076,0.47163137292866314,"guided,16",3.097000003,4.794118334456481,4.75729630350566,4.8164842863498905,79.90197224094136,0.05030671257639002,0.16191972045350203,87.71503546083585
zoom,4096,6,guided,64,5,0.644999981,0.642999887,0.65199995,0.646399927,0.003646956128856426,0.200928,1.1360423135730164,240253126.0,210738114.667,0.041000128,0.5641950093933761,"guided,64",3.097000003,4.801550533689086,4.7500003688650585,4.8164860766141935,80.02584222815143,0.04991926911535106,0.20376974824460764,87.71503546083585
zoom,4096,6,static,0,5,0.763999939,0.758000135,0.76699996,0.7635999680000001,0.0037814807960553846,0.620053,1.3587245267083043,287880163.0,210738114.667,0.042000055,0.49521751630762045,static (blocos),3.097000003,4.053665249049189,4.037809862467268,4.085751255176228,67.56108748415315,0.09602839067223595,0.6169903342732233,73.20341647391197
zoom,4096,6,static,1,5,0.575999975,0.572999954,0.585999966,0.5769999504000001,0.005338543200235451,0.008696,1.0040960146476114,211029538.0,210738114.667,0.042000055,0.9252242043581724,"static,1",3.097000003,5.376736349684737,5.28498324691029,5.404887001090405,89.61227249474562,0.023183716283645094,0.0033666898327759215,99.8619040082752
zoom,4096,6,static,4,5,0.57400012,0.571999788,0.575000048,0.573600006,0.0011402916379137595,0.012195,1.0055571956161584,211735238.0,210738114.667,0.042000055,0.19879561122489933,"static,4",3.097000003,5.395469260529074,5.386086512117995,5.414337676292985,89.92448767548457,0.022408828974095452,0.00972380893916203,99.52907067205632
